World Masters Powerlifting Championship,,,,,,,,,,,,,,,
"3.-7.10.1995, Copenhagen / DEN",,,,,,,,,,,,,,,
Women 40 -,,,,,,,,Women's rankings by the achieved Malone points,,,,,,,
44-52 kg,Name,YOB,Nat,BWT,SQ,,,BP,,,DL,,,TOT,Pts
13,Jose-Luis Martinez,39,ESP,87.9,100,-,,157.5,157.5,160,135,135,-,395,1
-,Wolfgang Kolditz,40,GER,87,145,152.5,155,100,100,100,-,-,-,disq,
100 kg,,,,,,,,,,,,,,,
1,Juhani �ij�,41,FIN,99,250,265,270,200,212.5,215.5,270,285,290,775,12
2,Vsevolod Babenko,37,UKR,99,250,250,270,175,185,185,275,290,305,735,9
3,Willi M�ller,39,GER,99.5,245,260,265,150,157.5,162.5,275,290,315,712.5,8
4,Mikhail Rusakov,44,RUS,99.8,235,245,250,175,185,190,240,255,260,700,7
5,Robert Rood,40,USA,99.1,240,250,260,160,175,175,250,262.5,267.5,697.5,6
6,R�diger Pfeiffer,41,USA,98.1,240,260,270,160,170,170,250,260,260,680,5
7,Karl Grabosch,37,GER,98.4,240,250,255,142.5,142.5,150,245,260,265,670,4
8,Rod Fielding,44,GBR,97.2,205,215,222.5,120,127.5,132.5,250,265,272.5,627.5,3
9,Vyacheslav Tsygankov,38,UKR,95.3,210,220,230,130,140,140,210,225,232.5,575,2
10,Josef Cisak,45,POL,92.6,205,215,220,125,130,130,205,205,-,545,1
11,Julius Madsen,37,DEN,97.2,130,140,147.5,140,150,157.5,160,170,180,477.5,1
110 kg,,,,,,,,,,,,,,,
1,Manfred Grossmann,42,GER,103.1,275,285,295,182.5,182.5,190,270,282.5,290,775,12
2,Antero Rinne,45,FIN,108.7,262.5,280,280,167.5,180,190,260,275,280,722.5,9
3,Dan Lindst�m,41,SWE,107.1,235,235,250,162.5,170,172.5,225,237.5,245,660,8
4,Truls Kristensen,40,NOR,102.1,230,245,252.5,140,150,157.5,230,245,245,655,7
5,Yuri Lobachev,38,RUS,102.6,220,230,240,140,150,150,250,260,277.5,640,6
6,Miller Edwards,43,USA,108.2,220,220,220,167.5,177.5,177.5,250,280,280,637.5,5
7,George Moran,41,GBR,107.4,200,220,232.5,120,127.5,130,210,225,232.5,587.5,4
8,Ernst Christensen,30,DEN,105.7,200,220,230,120,125,125,220,240,-,580,3
9,Jan Monstad,33,NOR,101.9,180,190,190,80,85,85,220,230,230,490,2
125 kg,,,,,,,,,,,,,,,
1,Yuri Kalashnik,40,UKR,122.6,280,290,300,170,180,190,270,285,292.5,772.5,12
2,Hans Ring,45,SWE,114,250,260,260,160,167.5,172.5,250,260,275,677.5,9
3,Hans Frece,40,GER,111.9,240,250,250,147.5,155,157.5,235,242.5,242.5,640,8
4,Olavi Erola,36,FIN,116.4,230,240,245,140,147.5,150,230,240,-,630,7
5,Nikolai Shuliatyev,40,RUS,113.6,220,235,235,140,150,152.5,220,230,235,595,6
6,Roberts Beitans,39,LAT,121.9,150,160,160,120,125,130,200,-,-,485,5
,C.J. Batten,43,USA,124.1,,,,,,,,,,disq / d,
125+ kg,,,,,,,,,,,,,,,
1,Knut Asvang,44,NOR,134.8,270,290,300,190,205,210,270,280,280,770,12
2,Robert Smith,42,USA,125.7,210,210,230,165,170,175,215,230,240,630,9
3,Vladimir Maramzin,41,RUS,130.6,210,210,225,145,155,160,220,230,252.5,610,8
4,Eduard Dobroy,41,EST,132.3,225,235,235,160,165,170,190,210,220,600,7
5,Don Martin ,41,USA,135.7,182.5,227.5,227.5,102.5,115,130,230,250,250,527.5,6
,,,,,,,,,,,,,,Kalevi Sorsa,
