Place,WeightClassKg,Division,Sex,Name,BirthYear,Country,BodyweightKg,Squat1Kg,Squat2Kg,Squat3Kg,BestSquatKg,Bench1Kg,Bench2Kg,Bench3Kg,BestBenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,BestDeadliftKg,TotalKg,Event,Equipment
8,110,Master 1,M,Erik Hansson,1955,SWE,108,230,250,260,260,145,155,160,160,230,250,260,260,670,SBD,Single-ply
9,110,Master 1,M,Xaver Kennerknecht,1946,GER,100.2,220,230,240,240,115,120,120,120,240,255,260,260,605,SBD,Single-ply
DQ,110,Master 1,M,Vladimir Lebedev,1950,UKR,106.9,275,285,290,290,167.5,177.5,177.5,177.5,270,270,270,270,,SBD,Single-ply
1,125,Master 1,M,Terry Young,1954,CAN,119.8,282.5,295,295,295,170,177.5,185,185,280,300,307.5,307.5,787.5,SBD,Single-ply
2,125,Master 1,M,Oleksiy Rokochiy,1951,UKR,119.8,270,270,290,290,160,175,185,185,290,305,325,325,770,SBD,Single-ply
3,125,Master 1,M,Dennis Anderssson,1955,SWE,114.6,270,285,295,295,165,175,180,180,280,290,305,305,755,SBD,Single-ply
4,125,Master 1,M,Leonid Emelyanov,1949,RUS,124.6,270,285,300,300,190,205,215,215,260,280,290,290,755,SBD,Single-ply
5,125,Master 1,M,Stefan Schlatter,1948,SUI,124.6,260,270,270,270,150,160,160,160,280,290,290,290,700,SBD,Single-ply
6,125,Master 1,M,Conny Olsson,1954,SWE,113.7,245,265,270,270,140,147.5,150,150,240,267.5,277.5,277.5,660,SBD,Single-ply
1,125+,Master 1,M,Junior Faamausili,1951,USA,130.8,365,387.5,387.5,387.5,230,250,260,260,267.5,280,297.5,297.5,912.5,SBD,Single-ply
2,125+,Master 1,M,Lajos Bajcsi,1954,HUN ,129.2,310,320,330,330,210,220,220,220,280,290,290,290,830,SBD,Single-ply
3,125+,Master 1,M,Wiebe Nyenhuis,1955,NED,128.6,290,300,300,300,185,185,195,195,315,330,330,330,790,SBD,Single-ply
4,125+,Master 1,M,Peter Morgan,1953,GBR,131.7,280,300,310,310,165,172.5,172.5,172.5,260,260,282.5,282.5,732.5,SBD,Single-ply
5,125+,Master 1,M,Moe Myburg,1955,RSA,143.5,270,290,290,290,185,190,190,190,250,260,,260,710,SBD,Single-ply
6,125+,Master 1,M,Georg Boström,1947,SWE,127.9,205,230,250,250,145,155,162.5,162.5,215,235,,235,627.5,SBD,Single-ply
1,52,Master 2,M,Hideaki Inaba,1944,JPN,52,215,230,237.5,237.5,92.5,97.5,102.5,102.5,215,220,230,230,560,SBD,Single-ply
2,52,Master 2,M,Shinjun Oshiro,1943,JPN,51.7,125,125,135,135,105,115,120,120,140,155,170,170,405,SBD,Single-ply
3,52,Master 2,M,Vladimir Denisov,1937,RUS,50.4,115,120,120,120,72.5,77.5,77.5,77.5,130,140,145,145,332.5,SBD,Single-ply
1,56,Master 2,M,Hiraku Fushimi,1937,JPN,55.8,130,140,140,140,110,120,127.5,127.5,160,170,170,170,430,SBD,Single-ply
